Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
César Lamark;Lipo Safer (Abdômen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia; R$ 34.375,00 ; R$ 27.500,00 ;09/07/2025;; R$ 23.500,00 ;;César LamarkLipo Safer (Abdômen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia
César Lamark;Lipo Safer (Abdômen, Flancos e costas) + Enxertia; R$ 20.000,00 ; R$ 16.000,00 ;02/06/2025;; R$ 23.500,00 ;;César LamarkLipo Safer (Abdômen, Flancos e costas) + Enxertia
César Lamark;Lipo Safer (Abdômen, Flancos e costas); R$ 18.000,00 ; R$ 14.400,00 ;02/06/2025;; R$ 11.000,00 ;;César LamarkLipo Safer (Abdômen, Flancos e costas)
César Lamark;Lipo Safer (Abdômen, Flancos e Dorso) + Braço; R$ 21.750,00 ; R$ 17.400,00 ;09/07/2025;;;;César LamarkLipo Safer (Abdômen, Flancos e Dorso) + Braço
César Lamark;Lipo Safer (Abdômen E Flancos) + Enxertia; R$ 18.125,00 ; R$ 14.500,00 ;02/06/2025;; R$ 13.500,00 ;;César LamarkLipo Safer (Abdômen E Flancos) + Enxertia
César Lamark;Lipo Safer (Abdômen E Flancos); R$ 15.000,00 ; R$ 12.000,00 ;02/06/2025;; R$ 11.000,00 ;;César LamarkLipo Safer (Abdômen E Flancos)
César Lamark;Lipo Safer (Abdômen, Flancos E Costas) + Enxertia +Abdominoplastia; R$ 29.000,00 ; R$ 23.200,00 ;02/06/2025;;;;César LamarkLipo Safer (Abdômen, Flancos E Costas) + Enxertia +Abdominoplastia
César Lamark;Lipo Safer (Região Torácica Lateral ) ; R$ 6.000,00 ; R$ 3.000,00 ;01/07/2025;; R$ 3.000,00 ;;César LamarkLipo Safer (Região Torácica Lateral ) 
César Lamark;Lipo Safer (Abdômen, Flancos ) + Abdominoplastia; R$ 25.500,00 ; R$ 20.400,00 ;02/06/2025;;;;César LamarkLipo Safer (Abdômen, Flancos ) + Abdominoplastia
César Lamark;Lipo Safer (Lombar, Flancos); R$ 15.000,00 ; R$ 12.000,00 ;02/06/2025;;;;César LamarkLipo Safer (Lombar, Flancos)
César Lamark;Lipo Safer (Torax Superior); R$ 6.000,00 ; R$ 4.000,00 ;02/06/2025;;;;César LamarkLipo Safer (Torax Superior)
César Lamark;Lipo Safer (Braços) ; R$ 6.000,00 ; R$ 4.000,00 ;02/06/2025;;;;César LamarkLipo Safer (Braços) 
César Lamark;Lipo Safer (Região Toracica Lateral); R$ 4.000,00 ; R$ 3.000,00 ;02/06/2025;;;;César LamarkLipo Safer (Região Toracica Lateral)
César Lamark;Lipo Safer (Coxas); R$ 6.000,00 ; R$ 4.000,00 ;02/06/2025;;;;César LamarkLipo Safer (Coxas)
César Lamark;Mamoplastia de Aumento; R$ 14.000,00 ; R$ 11.200,00 ;02/06/2025;; R$ 11.200,00 ;;César LamarkMamoplastia de Aumento
César Lamark;Mastopexia short scar sem protese; R$ 20.000,00 ; R$ 16.000,00 ;02/06/2025;; R$ 16.000,00 ;;César LamarkMastopexia short scar sem protese
César Lamark;Mamoplastia Redutora; R$ 18.000,00 ; R$ 14.400,00 ;02/06/2025;; R$ 14.400,00 ;;César LamarkMamoplastia Redutora
César Lamark;Lipo Safer (360° - Abdome // Flancos // Lombar);18.000,00; R$ 14.400,00 ;02/06/2025;; R$ 14.400,00 ;;César LamarkLipo Safer (360° - Abdome // Flancos // Lombar)
César Lamark;Miniabdominoplastia ; R$ 16.000,00 ; R$ 12.800,00 ;02/06/2025;; R$ 12.800,00 ;;César LamarkMiniabdominoplastia 
César Lamark;Explante Mamario + Mastopexia Circunferencial; R$ 22.000,00 ; R$ 17.600,00 ;02/06/2025;;;;César LamarkExplante Mamario + Mastopexia Circunferencial
César Lamark;Blefaroplastia Superior; R$ 6.000,00 ; R$ 4.800,00 ;02/06/2025;;;;César LamarkBlefaroplastia Superior
César Lamark;Ginecomastia; R$ 10.000,00 ; R$ 8.000,00 ;02/06/2025;;;;César LamarkGinecomastia
