PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica,"Lipo Safer (Abdomen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia","R$2.800,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica,"Lipo Safer (Abdõmen, Flancos e costas) + Enxertia","R$2.800,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica,"Lipo Safer (Abdomen, Flancos e costas)","R$2.800,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipo Safer (Abdômen E Flancos) +Enxertia,"R$2.800,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipo Safer (Abdomen E Flancos),"R$2.800,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica," Lipo Safer (Abômen, Flancos E Costas) + Enxertia +Abdominoplastia","R$4.000,00","R$3.700,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica," Lipo Safer 360° (Abômen, Flancos e Lombar )","R$2.600,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mamoplastia Redutora,"R$2.800,00","R$2.600,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Abdominoplastia,"R$2.800,00","R$2.600,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mamoplastia Redutora Com Prótese,"R$3.500,00","R$3.800,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mastopexia Com Protese Multiplanos Em L,"R$3.500,00","R$3.200,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mamoplastia De Aumento Submuscular Estruturada,"R$3.500,00","R$3.200,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Parto Cesárea,"R$900,00","R$900,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mamoplastia De Aumento,"R$2.400,00","R$2.320,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mastopexia Com Prótese,"R$3.500,00","R$3.200,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Mastopexia Sem Prótese,"R$3.500,00","R$3.200,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Ginecomastia,"R$1.800,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Ginecomastia Com Lipo De Peitoral,"R$1.800,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Abdominoplastia Em Ancora,"R$2.800,00","R$2.600,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Miniabdominoplastia,"R$1.200,00","R$1.000,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipoaspiração De Papada,"R$1.600,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax),"R$1.600,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipoaspiração De Abdome Sem Enxertia,"R$2.600,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipoaspiração De Abdome Com Enxertia,"R$2.600,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipoaspiracão De Abdome E Dorso Sem Enxertia,"R$2.600,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lipoaspiracão De Abdome E Dorso Com Enxertia,"R$2.600,00","R$2.400,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Otoplastia,"R$1.400,00","R$1.300,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Blefaroplastia Superior,"R$1.600,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Blefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia,"R$1.600,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Braquioplastia,"R$2.000,00","R$1.950,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Cruroplastia,"R$1.600,00","R$1.500,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Lifting Facial,"R$2.800,00","R$2.600,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Rinoplastia,"R$2.500,00","R$2.320,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Rinoplastia Com Cartilagem Costal,"R$2.500,00","R$2.320,00","R$ 0,00"
Anestesia e Servicos Medicoas LTDA,Cirurgia plástica, Ninfoplastia,"R$1.500,00","R$1.500,00","R$ 0,00"
