PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Biolab,Exame,17 ALFA HIDROXIPROGESTERONA," R$  40,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,3 - ALFA ANDROSTANEDIOL GLUCORONIDE /DEHIDROSTERONA (DTH)," R$  90,00 "," R$  32,00 ","R$ 0,00"
Biolab,Exame,"ACETILCOLINESTERASE, EM ERITRÓCITOS"," R$  50,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,"ACETONA, DOSAGEM NO PLASMA FLUORETADO"," R$  52,00 "," R$  36,40 ","R$ 0,00"
Biolab,Exame,ÁCIDO 5 HIDROXI INDOIL ACÉTICO," R$  250,00 "," R$  175,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO CITRICO (CITRATO) – SORO," R$  150,00 "," R$  105,00 ","R$ 0,00"
Biolab,Exame,ACIDO DELTA AMINOLEVULINICO - ALA-U," R$  170,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO DELTA AMINOLEVULÍNICO( PARA CHUMBO INORGÂNICO ) - URINA 24," R$  50,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO FENILGLIOXÍLICO," R$  40,00 "," R$  28,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO FENILMERCAPTURICO," R$  460,00 "," R$  322,00 ","R$ 0,00"
Biolab,Exame,ACIDO FÓLICO," R$  30,00 "," R$  24,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO HIPÚRICO (PARA TOLUENO)," R$  30,00 "," R$  16,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO HOMO VANÍLICO," R$  250,00 "," R$  175,00 ","R$ 0,00"
Biolab,Exame,ACIDO LÁCTICO," R$  40,00 "," R$  20,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO MANDÉLICO (PARA ESTIRENO) – URINA," R$  54,00 "," R$  40,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO METIL HIPÚRICO (PARA XILENNOS)," R$  30,00 "," R$  17,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO METIL MALÔNICO(SORO)," R$  400,00 "," R$  230,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO METILMALÔNICO NA URINA," R$  410,00 "," R$  230,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO OXALICO (OXALATO)	U24," R$  70,00 "," R$  49,00 ","R$ 0,00"
Biolab,Exame,"ACIDO PIRÚVICO, URINA - PKU FENILALANINA"," R$  32,00 "," R$  22,40 ","R$ 0,00"
Biolab,Exame,ÁCIDO SALICÍLICO," R$  120,00 "," R$  84,00 ","R$ 0,00"
Biolab,Exame,ÁCIDO TRANS-MUCONICO," R$  80,00 "," R$  70,00 ","R$ 0,00"
Biolab,Exame,ACIDO TRICLOROACETICO," R$  20,00 "," R$  14,00 ","R$ 0,00"
Biolab,Exame,ACIDO URICO ," R$  20,00 "," R$  4,00 ","R$ 0,00"
Biolab,Exame,ACIDO URICO URINA DE 24," R$  30,00 "," R$  11,00 ","R$ 0,00"
Biolab,Exame,ACIDO URICO URINÁRIO ( AMOSTRA ISOLADA )," R$  20,00 "," R$  11,00 ","R$ 0,00"
Biolab,Exame,ACIDO ÚRICO(SORO)," R$  20,00 "," R$  4,00 ","R$ 0,00"
Biolab,Exame,ACIDO VALPRÓICO," R$  40,00 "," R$  28,00 ","R$ 0,00"
Biolab,Exame,ACIDOS BILIARES - AC-BI," R$  135,00 "," R$  94,50 ","R$ 0,00"
Biolab,Exame,ACIDOS GRAXOS LIVRES," R$  72,00 "," R$  50,40 ","R$ 0,00"
Biolab,Exame,ACIDOVANILMANDÉLICO( VMA )," R$  50,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,ADENOSINA DE AMINASE( ADA )," R$  70,00 "," R$  49,00 ","R$ 0,00"
Biolab,Exame,"ADRENOCOTRICOTRÓFICO, HORMÔNIO ( ACTH )"," R$  40,00 "," R$  31,00 ","R$ 0,00"
Biolab,Exame,AECA - ANTICORPOS ANTI CELULAS ENDOTELIAIS," R$  250,00 "," R$  175,00 ","R$ 0,00"
Biolab,Exame,ALBUMINA," R$  10,00 "," R$  5,00 ","R$ 0,00"
Biolab,Exame,ALBUMINA URINÁRIA - 24 H," R$  20,00 "," R$  14,00 ","R$ 0,00"
Biolab,Exame,ALDOLASE," R$  30,00 "," R$  16,00 ","R$ 0,00"
Biolab,Exame,ALDOSTERONA," R$  40,00 "," R$  30,00 ","R$ 0,00"
