PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Sedilab,Exame,1.2 DHAB URINA,"R$ 871,00","R$ 670,00","R$ 0,00"
Sedilab,Exame,11-DESOXI CORTISOL,"R$ 65,00","R$ 50,00","R$ 0,00"
Sedilab,Exame,17 HIDROXICORTICOIDES,"R$ 58,50","R$ 45,00","R$ 0,00"
Sedilab,Exame,17-ALFA-HIDROXIPROGESTERONA,"R$ 41,60","R$ 32,00","R$ 0,00"
Sedilab,Exame,17-ALFA-HIDROXIPROGESTERONA - RIA,"R$ 58,50","R$ 45,00","R$ 0,00"
Sedilab,Exame,17-CETOSTEROIDES,"R$ 195,00","R$ 150,00","R$ 0,00"
Sedilab,Exame,ACETONA NA URINA,"R$ 48,10","R$ 37,00","R$ 0,00"
Sedilab,Exame,ACIDO 2 - TIO - TIAZOLIDINA 4 - CARBOXILICO - NR7,"R$ 301,60","R$ 232,00","R$ 0,00"
Sedilab,Exame,ACIDO DELTA AMINO LEVULINICO NR7,"R$ 33,80","R$ 26,00","R$ 0,00"
Sedilab,Exame,ACIDO FENILGLIOXILICO,"R$ 26,00","R$ 20,00","R$ 0,00"
Sedilab,Exame,ACIDO FOLICO,"R$ 32,50","R$ 25,00","R$ 0,00"
Sedilab,Exame,ACIDO HIPURICO,"R$ 15,60","R$ 12,00","R$ 0,00"
Sedilab,Exame,ACIDO MANDELICO,"R$ 26,00","R$ 20,00","R$ 0,00"
Sedilab,Exame,ACIDO METIL-HIPURICO,"R$ 19,50","R$ 15,00","R$ 0,00"
Sedilab,Exame,ACIDO TRANS MUCONICO,"R$ 32,50","R$ 25,00","R$ 0,00"
Sedilab,Exame,ACIDO TRICLORO ACETICO,"R$ 88,40","R$ 68,00","R$ 0,00"
Sedilab,Exame,ACIDO URICO,"R$ 5,20","R$ 4,00","R$ 0,00"
Sedilab,Exame,ACIDO URICO - URINA 24H,"R$ 7,80","R$ 6,00","R$ 0,00"
Sedilab,Exame,ACIDO URICO - URINA AMOSTRA ISOLADA,"R$ 7,80","R$ 6,00","R$ 0,00"
Sedilab,Exame,ACIDO VANIL MANDELICO,"R$ 26,00","R$ 20,00","R$ 0,00"
Sedilab,Exame,ACTH - HORMONIO ADRENOCORTICOTROFICO,"R$ 39,00","R$ 30,00","R$ 0,00"
Sedilab,Exame,ALBUMINA,"R$ 4,55","R$ 3,50","R$ 0,00"
Sedilab,Exame,ALBUMINA URINARIA - 24H,"R$ 7,80","R$ 6,00","R$ 0,00"
Sedilab,Exame,ALFA-1-ANTITRIPSINA,"R$ 28,60","R$ 22,00","R$ 0,00"
Sedilab,Exame,ALFA-1-GLICOPROTEINA ACIDA,"R$ 23,48","R$ 18,06","R$ 0,00"
Sedilab,Exame,ALFA-FETOPROTEINA,"R$ 44,20","R$ 34,00","R$ 0,00"
Sedilab,Exame,ALUMINIO SERICO,"R$ 27,30","R$ 21,00","R$ 0,00"
Sedilab,Exame,ALUMINIO URINARIO POS JORNADA,"R$ 58,50","R$ 45,00","R$ 0,00"
Sedilab,Exame,ALUMINIO URINARIO PRE JORNADA,"R$ 27,30","R$ 21,00","R$ 0,00"
Sedilab,Exame,AMILASE,"R$ 5,20","R$ 4,00","R$ 0,00"
Sedilab,Exame,ANATOMO PATOLOGICO PC PQ 10CM ANAT8,"R$ 156,00","R$ 120,00","R$ 0,00"
Sedilab,Exame,ANDROSTENEDIONA,"R$ 23,40","R$ 18,00","R$ 0,00"
Sedilab,Exame,ANTI CCP - CYCLIC CITRULLATED PEPTIDE,"R$ 52,00","R$ 40,00","R$ 0,00"
Sedilab,Exame,ANTI ENDOMISIO IGA,"R$ 33,80","R$ 26,00","R$ 0,00"
Sedilab,Exame,ANTI ENDOMISIO IGG,"R$ 58,50","R$ 45,00","R$ 0,00"
Sedilab,Exame,ANTI ENDOMISIO IGM,"R$ 58,50","R$ 45,00","R$ 0,00"
Sedilab,Exame,ANTI GLIADINA IGM,"R$ 52,00","R$ 40,00","R$ 0,00"
Sedilab,Exame,ANTI TIREOGLOBULINA,"R$ 39,00","R$ 30,00","R$ 0,00"
Sedilab,Exame,ANTI TRANSGLUTAMINASE IGA - TECIDUAL,"R$ 78,00","R$ 60,00","R$ 0,00"
Sedilab,Exame,ANTI TRANSGLUTAMINASE IGG - TECIDUAL,"R$ 91,00","R$ 70,00","R$ 0,00"
Sedilab,Exame,ANTI-BETA 2 GLICOPROTEINA-IGG-IGM,"R$ 208,00","R$ 160,00","R$ 0,00"
Sedilab,Exame,ANTI-NUCLEOSSOMO ANTI-CROMATINA,"R$ 117,00","R$ 90,00","R$ 0,00"
Sedilab,Exame,"ANTI-SARS-COV-2, ANTICORPOS NEUTRALIZANTES","R$ 208,00","R$ 160,00","R$ 0,00"
Sedilab,Exame,ANTI-SM,"R$ 32,50","R$ 25,00","R$ 0,00"
Sedilab,Exame,ANTI-TPO - TIREOPEROXIDASE,"R$ 36,40","R$ 28,00","R$ 0,00"
Sedilab,Exame,ANTICARDIOLIPINA IGA,"R$ 39,00","R$ 30,00","R$ 0,00"
Sedilab,Exame,ANTICARDIOLIPINA IGM,"R$ 45,50","R$ 35,00","R$ 0,00"
Sedilab,Exame,ANTICORPOS  ANTI-SSB - LA,"R$ 45,50","R$ 35,00","R$ 0,00"
Sedilab,Exame,ANTICORPOS ANTI CHIKUNGUNYA  IGG,"R$ 104,00","R$ 80,00","R$ 0,00"
Sedilab,Exame,ANTICORPOS ANTI CHIKUNGUNYA  IGM,"R$ 104,00","R$ 80,00","R$ 0,00"
Sedilab,Exame,ANTICORPOS ANTI-FOSFATIDIL SERINA IGA,"R$ 234,00","R$ 180,00","R$ 0,00"
Sedilab,Exame,ANTICORPOS ANTI-SSA - RO,"R$ 54,60","R$ 42,00","R$ 0,00"
Sedilab,Exame,ANTICORPOS ANTI-TIREOIDEANOS AAT,"R$ 39,00","R$ 30,00","R$ 0,00"
Sedilab,Exame,ARSENIO URINARIO,"R$ 84,50","R$ 65,00","R$ 0,00"
Sedilab,Exame,ASLO,"R$ 6,50","R$ 5,00","R$ 0,00"
Sedilab,Exame,B-HCG,"R$ 10,40","R$ 8,00","R$ 0,00"
Sedilab,Exame,B-HCG PLUS,"R$ 10,40","R$ 8,00","R$ 0,00"
Sedilab,Exame,B-HCG QUANTITATIVO,"R$ 32,50","R$ 25,00","R$ 0,00"
Sedilab,Exame,BACILOSCOPIA - BAAR,"R$ 7,80","R$ 6,00","R$ 0,00"
Sedilab,Exame,BACILOSCOPIA - BAAR-LINFA,"R$ 52,00","R$ 40,00","R$ 0,00"
Sedilab,Exame,BACTERIOSCOPIA - GRAM,"R$ 7,80","R$ 6,00","R$ 0,00"
Sedilab,Exame,BACTERIOSCOPIA DE URINA - GRAM,"R$ 7,80","R$ 6,00","R$ 0,00"
Sedilab,Exame,BETA-HCG QUANTITATIVO,"R$ 20,80","R$ 16,00","R$ 0,00"
Sedilab,Exame,BILIRRUBINA DIRETA,"R$ 4,55","R$ 3,50","R$ 0,00"
Sedilab,Exame,BILIRRUBINA TOTAL,"R$ 4,55","R$ 3,50","R$ 0,00"
Sedilab,Exame,BILIRRUBINAS,"R$ 9,10","R$ 7,00","R$ 0,00"
Sedilab,Exame,BNP - PEPTIDEO NATRIURETICO,"R$ 490,10","R$ 377,00","R$ 0,00"
Sedilab,Exame,BRUCELOSE IGG,"R$ 80,60","R$ 62,00","R$ 0,00"
Sedilab,Exame,BRUCELOSE IGM,"R$ 301,60","R$ 232,00","R$ 0,00"
Sedilab,Exame,CA 72.4,"R$ 28,60","R$ 22,00","R$ 0,00"
Sedilab,Exame,CA19.9,"R$ 39,00","R$ 30,00","R$ 0,00"
