PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Ananda Cantolino,Consulta,Consulta,"R$500,00","R$200,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica,Mamoplastia de aumento,"R$16.000,00","R$8.050,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica,Mamoplastia redutora,"R$22.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mastopexia com Prótese,"R$22.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mastopexia sem Prótese,"R$22.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mamoplastia pós Bariatrica,"R$25.000,00","R$12.075,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Ginecomastia Pequena (Simon 1 ou 2A),"R$15.000,00","R$8.050,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Ginecomastia Grande (Simon 2B ou 3),"R$18.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Lipoaspiracão De Axilas Associada À Mamoplastia Ou Mastopexia,"R$3.000,00","R$1.725,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Abdominoplastia,"R$20.000,00","R$10.350,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Abdominoplastia Pós Bariátrica,"R$25.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mini Abdominoplastia,"R$16.000,00","R$8.050,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Lipoaspiracão Anterior,"R$20.000,00","R$9.200,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Lipoaspiracão Anterior E Posterior,"R$25.000,00","R$13.800,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Lipoescultura (Lipoaspiracão + Lipoenxertia Glútea),"R$28.000,00","R$16.100,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Otoplastia,"R$12.000,00","R$8.050,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Blefaroplastia Superior,"R$9.000,00","R$6.900,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Blefaroplastia Superior + Inferior,"R$12.000,00","R$8.050,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Blefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia,"R$15.000,00","R$9.200,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Lipoaspiracão De Papada,"R$8.000,00","R$4.600,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Braquioplastia (Lifting de Braço),"R$20.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Cruroplastia (Lifting de Coxas),"R$25.000,00","R$13.800,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Ninfoplastia,"R$15.000,00","R$9.200,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mamoplastia De Aumento + Lipoescultura,"R$40.000,00","R$18.400,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mamoplastia De Aumento + Abdominoplastia,"R$35.000,00","R$17.250,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Abdominoplastia + Hérnia Umbilical,"R$22.000,00","R$11.500,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mamoplastia De Aumento + Abdominoplastia + Lipoescultura,"R$55.000,00","R$27.600,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Abdominoplastia + Lipoaspiracão Anterior,"R$35.000,00","R$16.100,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Abdominoplastia + Lipoaspiracão Anterior E Posterior,"R$45.000,00","R$20.700,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Abdominoplastia + Lipoescultura,"R$50.000,00","R$23.000,00","R$ 0,00"
Ananda Cantolino,Cirurgia plástica, Mini Abdominoplastia + Lipoescultura,"R$40.000,00","R$20.700,00","R$ 0,00"
