PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Matheus Brito Almeida,Consulta,Consulta Pré-Anestésica,"R$220,00","R$220,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica,Lipoaspiração Média 2 A 4 Horas,"R$2.574,00","R$2.574,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica,Lipoaspiração Pequena Até 2 Horas,"R$2.574,00","R$2.574,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Enxertia De Glúteo,"R$500,00","R$500,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mini Abdominoplastia + Lipo De Cintura,"R$1.925,00","R$1.925,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mamoplastia De Aumento,"R$1.980,00","R$1.980,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Ginecomastia,"R$1.870,00","R$1.870,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mastopexia Sem Prótese,"R$2.860,00","R$2.860,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mastopexia Com Prótese,"R$2.860,00","R$2.860,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mamoplastia Redutora,"R$2.530,00","R$2.530,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mini Abdome com Lipo de Flancos,"R$1.925,00","R$1.925,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mamoplastia + Lipoescultura,"R$3.850,00","R$3.850,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mamoplastia + Abdome + Lipoescultura,"R$5.005,00","R$5.005,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mini Lipo,"R$1.650,00","R$1.650,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mama com Prótese + Lipoescultura + Abdome,"R$5.335,00","R$5.335,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdome + Lipoescultura + Enxertia,"R$3.762,00","R$3.762,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia,"R$2.255,00","R$2.255,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Lipo De Cintura Sem Enxertia,"R$2.915,00","R$2.915,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Lipo De Cintura + Enxertia,"R$3.080,00","R$3.080,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Lipo De Cintura + Costa,"R$3.762,00","R$3.762,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Lipo Média+ Hérnia,"R$4.412,00","R$4.412,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Ninfoplastia,"R$2.255,00","R$2.255,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Hérnia,"R$2.255,00","R$2.255,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Ninfoplastia (com lipo de cintura e sem enxertia),"R$3.916,00","R$3.916,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Abdominoplastia + Hérnia (com lipo de cintura e sem enxertia),"R$3.565,00","R$3.565,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Rinoplastia,"R$2.288,00","R$2.288,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Otoplastia,"R$1.287,00","R$1.287,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Blefaroplastia Superior + Inferior,"R$1.650,00","R$1.650,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Blefaroplastia Superior,"R$1.188,00","R$1.188,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Blefaroplastia Inferior,"R$1.188,00","R$1.188,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lifting Coxa,"R$2.200,00","R$2.200,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lifting Braço,"R$2.000,00","R$2.000,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipo de Braço,"R$770,00","R$770,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipo de Papada com Enxertia em Face,"R$1.650,00","R$1.650,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Ninfoplastia Com Enxertia De Gordura,"R$1.540,00","R$1.540,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mamoplastia De Aumento + Lipo Pequena,"R$3.835,00","R$3.835,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Mini Abdominoplastia + Lipo Média 2 A 4 Horas,"R$2.860,00","R$2.860,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipoescutura + Mini Abdome + Enxertia,"R$2.860,00","R$2.860,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipoescultura com Enxertia + Lipo de Braço,"R$3.014,00","R$3.014,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipoescultura + Abdome + Prótese,"R$4.686,00","R$4.686,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipoescultura,"R$2.574,00","R$2.574,00","R$ 0,00"
Matheus Brito Almeida,Cirurgia plástica, Lipoescultura Com Laser,"R$2.574,00","R$2.574,00","R$ 0,00"
