PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Cemedi,Exame,USG ABDOMEN TOTAL,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG OBSTÉTRICA MORFOLÓGICA,"R$  220,00","R$  160,00","R$ 0,00"
Cemedi,Exame,USG OBSTETRICA SIMPLES,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG REGIÃO CERVICAL,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG REGIÃO CERVICAL COM DOPPLER,"R$  220,00","R$  160,00","R$ 0,00"
Cemedi,Exame,USG VIAS URINARIAS,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG VIAS BILIARES,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG BOLSA ESCROTAL,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG BOLSA ESCROTAL COM DOPPLER,"R$  220,00","R$  160,00","R$ 0,00"
Cemedi,Exame,USG TIREOIDE COM DOPPLER,"R$  220,00","R$  160,00","R$ 0,00"
Cemedi,Exame,USG PAREDE ABD,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG REGIÃO INGUINAL,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG REGIÃO UMBILICAL,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG PELVICA,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG PROSTATA,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG TRANSVAGINAL,"R$  150,00","R$  110,00","R$ 0,00"
Cemedi,Exame,USG TRANSVAGINAL COM DOPPLER,"R$  220,00","R$  160,00","R$ 0,00"
Cemedi,Exame,USG PARTES MOLES,"R$  175,00","R$  130,00","R$ 0,00"
Cemedi,Exame,USG MAMARIA,"R$  175,00","R$  130,00","R$ 0,00"
Cemedi,Exame,PREVENTIVO COMPLETO,"R$  150,00","R$  120,00","R$ 0,00"
Cemedi,Exame,ECG COM LAUDO,"R$  70,00","R$  45,00","R$ 0,00"
Cemedi,Exame,MAPA 24HORAS,"R$  180,00","R$  110,00","R$ 0,00"
Cemedi,Exame,HISTOPATOLÓGICO PEÇA PEQUENA,"R$  220,00","R$  120,00","R$ 0,00"
Cemedi,Exame,HISTOPATOLÓGICO PEÇA grande,"R$  350,00","R$  150,00","R$ 0,00"
Cemedi,Exame,HISTOPATOLÓGICO ÚTERO COM ANEXO,"R$  450,00","R$  200,00","R$ 0,00"
