PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Cesar Lamark,Cirurgia plástica,"Lipo Safer (Abdômen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia","R$34.375,00","R$27.500,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica,"Lipo Safer (Abdômen, Flancos e costas) + Enxertia","R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica,"Lipo Safer (Abdômen, Flancos e costas)","R$18.000,00","R$14.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica," Lipo Safer (Abdômen, Flancos e Dorso) + Braço","R$21.750,00","R$17.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Abdômen E Flancos) + Enxertia,"R$18.125,00","R$14.500,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Abdômen E Flancos),"R$15.000,00","R$12.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica," Lipo Safer (Abdômen, Flancos E Costas) + Enxertia +Abdominoplastia","R$29.000,00","R$23.200,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Região Torácica Lateral ),"R$6.000,00","R$3.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica," Lipo Safer (Abdômen, Flancos ) + Abdominoplastia","R$25.500,00","R$20.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica," Lipo Safer (Lombar, Flancos)","R$15.000,00","R$12.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Torax Superior),"R$6.000,00","R$4.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Braços),"R$6.000,00","R$4.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Região Toracica Lateral),"R$4.000,00","R$3.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (Coxas),"R$6.000,00","R$4.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mamoplastia de Aumento,"R$14.000,00","R$11.200,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mastopexia short scar sem protese,"R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mamoplastia Redutora,"R$18.000,00","R$14.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Lipo Safer (360° - Abdome // Flancos // Lombar),"18.000,00","R$14.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Miniabdominoplastia,"R$16.000,00","R$12.800,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Explante Mamario + Mastopexia Circunferencial,"R$22.000,00","R$17.600,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Blefaroplastia Superior,"R$6.000,00","R$4.800,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Ginecomastia,"R$10.000,00","R$8.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Abdominoplastia,"R$18.000,00","R$14.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mamoplastia Redutora Com Prótese,"R$18.000,00","R$14.400,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mastopexia Com Protese Multiplanos Em L,"R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Matopexia com Prótese,"R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mastopexia sem Prótese,"R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Mamoplastia De Aumento Submuscular Estruturada,"R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Enxerto de Glúteo,"R$3.250,00","R$2.500,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Braquioplastia,"R$20.000,00","R$16.000,00","R$ 0,00"
Cesar Lamark,Cirurgia plástica, Argon 4,"R$8.000,00","R$6.000,00","R$ 0,00"
Cesar Lamark,CONSULTA, Consulta,"R$600,00","R$350,00","R$ 0,00"
