PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Joana Cariri,Cirurgia plástica,Instrumentação abdominoplastia,"R$400,00","R$400,00","R$ 0,00"
Joana Cariri,Cirurgia plástica,Instrumentação abdominoplastia + lipoescultura + com ou sem enxertia de glúteo,"R$750,00","R$750,00","R$ 0,00"
Joana Cariri,Cirurgia plástica,Instrumentação blefaroplastia inferior,"R$400,00","R$400,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação blefaroplastia superior,"R$400,00","R$400,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação Lipo de Cintura + Abdominoplastia,"R$750,00","R$750,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação lipoescultura,"R$750,00","R$750,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação lipoescultura + enxertia de glúteo,"R$700,00","R$700,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação mamoplastia de aumento,"R$350,00","R$350,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação mamoplastia redutora,"R$550,00","R$550,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação mastopexia com prótese,"R$550,00","R$550,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação Mastopexia sem prótese,"R$550,00","R$550,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação ninfoplastia pequenos lábios,"R$400,00","R$400,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação otoplastia,"R$400,00","R$400,00","R$ 0,00"
Joana Cariri,Cirurgia plástica, Instrumentação rinoplastia,"R$400,00","R$400,00","R$ 0,00"
