PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Kleber Garcia,Procedimento,Histerectomia Total- Tumores Malignos,"R$14.000,00","R$11.200,00","R$ 0,00"
Kleber Garcia,Procedimento,Histerectomia Total - Doença Benigna D1372,"R$10.000,00","R$8.000,00","R$ 0,00"
Kleber Garcia,Procedimento,Colectomia Parcial,"R$15.000,00","R$12.000,00","R$ 0,00"
Kleber Garcia,Procedimento, Retossigmoidectomia,"R$18.000,00","R$14.400,00","R$ 0,00"
Kleber Garcia,Procedimento, Gastrectomia Parcial,"R$14.000,00","R$11.200,00","R$ 0,00"
Kleber Garcia,Procedimento, Gastrectomia Total,"R$18.000,00","R$14.400,00","R$ 0,00"
Kleber Garcia,Procedimento, Ressecção De Tumores De Pâncreas,"R$16.000,00","R$12.800,00","R$ 0,00"
Kleber Garcia,Procedimento, Ressecção De Tumores De Pele Pequenos ( Por Cada Tumor ):,"R$4.000,00","R$3.200,00","R$ 0,00"
Kleber Garcia,Procedimento, Ressecção De Tumores De Pele Grandes ( Por Cada Tumor ); ,"R$6.000,00","R$4.800,00","R$ 0,00"
Kleber Garcia,Procedimento, Ressecção De Grande Tumorações Abdominais ( Doenças Variadas ):,"R$16.000,00","R$12.800,00","R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
,,,,,"R$ 0,00"
