PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
ATMA,EXAME,COLONOSCOPIA (INCLUI A RETOSSIGMOIDOSCOPIA),"R$ 500,00","R$ 350,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA CARDIOLOGIA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA CIRURGIA CABECA E PESCOCO,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA CLINICO GERAL,"R$ 300,00","R$ 100,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA ENDOCRINOLOGISTA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA FISIOTERAPIA,"R$ 160,00","R$ 90,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA GASTROENTEROLOGIA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA GINECOLOGISTA/OBSTETRA ,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA NEUROLOGISTA,"R$ 350,00","R$ 145,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA NUTRICIONISTA,"R$ 160,00","R$ 90,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA ORTOPEDIA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA PEDIATRIA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA PNEUMOLOGISTA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA PROCOTLOGISTA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA PSICOLOGIA,"R$ 300,00","R$ 110,00","R$ 0,00"
ATMA,CONSULTA,CONSULTA PSIQUIATRIA,"R$ 300,00","R$ 125,00","R$ 0,00"
ATMA,EXAME,ELETROCARDIOGRAMA (ECG),"R$ 100,00","R$ 60,00","R$ 0,00"
ATMA,EXAME,ENDOSCOPIA DIGESTIVA ALTA,"R$ 320,00","R$ 200,00","R$ 0,00"
ATMA,CONSULTA,SESSÃO PSICOLOGIA,"R$ 120,00","R$ 90,00","R$ 0,00"
ATMA,EXAME,TESTE DE OLHINHO,"R$ 120,00","R$ 90,00","R$ 0,00"
ATMA,EXAME,TESTE DO PEZINHO AMPLIADO (TSH NEONATAL + 17 OH PROGESTERONA + FENILAL,"R$ 100,00","R$ 50,00","R$ 0,00"
ATMA,EXAME,USG ABDOMEM COM DOPPLER,"R$ 250,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG ABDOMEM SUPERIOR,"R$ 250,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG ABDOMEM TOTAL,"R$ 300,00","R$ 140,00","R$ 0,00"
ATMA,EXAME,USG ABDOMEM TOTAL COM DOPPLER,"R$ 300,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG ARTICULAÇÃO,"R$ 350,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG ARTICULAÇÃO COM DOPPLER,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG AXILA,"R$ 200,00","R$ 110,00","R$ 0,00"
ATMA,EXAME,USG CAROTIDAS E VERTEBRAIS,"R$ 210,00","R$ 200,00","R$ 0,00"
ATMA,EXAME,USG CERVICAL,"R$ 300,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG CERVICAL COM DOPPLER,"R$ 250,00","R$ 200,00","R$ 0,00"
ATMA,EXAME,USG COM DOPPLER MMII ARTERIAL (VALOR UNILATERAL),"R$ 210,00","R$ 200,00","R$ 0,00"
ATMA,EXAME,USG COM DOPPLER MMII VENOSO (VALOR UNILATERAL),"R$ 350,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG COM DOPPLER MMSS ARTERIAL (VALOR UNILATERAL),"R$ 350,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG COM DOPPLER MMSS VENOSO (VALOR UNILATERAL),"R$ 350,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG DOPPLER ARTERIAL RENAL,"R$ 450,00","R$ 210,00","R$ 0,00"
ATMA,EXAME,USG DOPPLER DE CAROTIDAS E VERTEBRAS,"R$ 200,00","R$ 110,00","R$ 0,00"
ATMA,EXAME,USG DOPPLER TRANSFONTANELA,"R$ 300,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG GLANDULAS SALIVARES,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG GLANDULAS SALIVARES COM DOPPLER,"R$ 300,00","R$ 200,00","R$ 0,00"
ATMA,EXAME,USG JUGULARES,"R$ 350,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG MAMAS (AXILA),"R$ 220,00","R$ 110,00","R$ 0,00"
ATMA,EXAME,USG MORFOLOGICA,"R$ 250,00","R$ 200,00","R$ 0,00"
ATMA,EXAME,USG MORFOLOGICA COM DOPPLER,"R$ 380,00","R$ 300,00","R$ 0,00"
ATMA,EXAME,USG OBSTETRICA,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG OBSTETRICA (TRANSVAGINAL) - 1º TRIMESTRE,"R$ 250,00","R$ 140,00","R$ 0,00"
ATMA,EXAME,USG OBSTETRICA COM DOPPLER,"R$ 200,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG OBSTETRICA GEMELAR,"R$ 250,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG PAREDE ABDOMINAL,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG PARTES MOLES,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG PARTES MOLES COM DOPPLER,"R$ 300,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG REGIÃO INGUINAL,"R$ 300,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG TIREÓIDE,"R$ 350,00","R$ 140,00","R$ 0,00"
ATMA,EXAME,USG TIREÓIDE COM DOPPLER,"R$ 200,00","R$ 110,00","R$ 0,00"
ATMA,EXAME,USG TORAX,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG TRANSVAGINAL,"R$ 200,00","R$ 100,00","R$ 0,00"
ATMA,EXAME,USG TRANSVAGINAL COM DOPPLER,"R$ 300,00","R$ 180,00","R$ 0,00"
ATMA,EXAME,USG TRANSVAGINAL PARA CONTROLE DE OVULAÇÃO,"R$ 250,00","R$ 140,00","R$ 0,00"
ATMA,EXAME,USG VIAS URINARIAS,"R$ 200,00","R$ 100,00","R$ 0,00"
