PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
ATMA,CONSULTA,CARDIOLOGISTA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,CIRURGIÃO CABEÇA E PESCOÇO,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,CLINICO GERAL,"R$ 300,00","R$ 100,00","R$ 180,00"
ATMA,CONSULTA,ENDOCRINOLOGISTA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,FISIOTERAPIA,"R$ 160,00","R$ 90,00","R$ 120,00"
ATMA,CONSULTA,GINECOLOGISTA/OBSTETRA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,GASTROENTEROLOGISTA/CLINICO GERAL,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,NEUROLOGISTA /CLINICO GERAL,"R$ 350,00","R$ 145,00","R$ 180,00"
ATMA,CONSULTA,NUTRICIONISTA,"R$ 160,00","R$ 90,00","R$ 120,00"
ATMA,CONSULTA,ORTOPEDISTA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,OTORRINOLARINGOLOGISTA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,PEDIATRIA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,PNEUMOLOGISTA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,PROCTOLOGISTA ,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,PSIQUIATRA,"R$ 300,00","R$ 125,00","R$ 180,00"
ATMA,CONSULTA,PSICOLOGIA CONSULTA ,"R$ 160,00","R$ 70,00","R$ 120,00"
ATMA,CONSULTA,PSICOLOGIA SESSÃO,"R$ 130,00","R$ 60,00","R$ 110,00"
ATMA,CONSULTA,PSICOLOGIA ABA CONSULTA,"R$ 200,00","R$ 120,00","R$ 180,00"
