PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Heron Silveira,Pacote,Pacote Ginecologico,"R$900,00","R$500,00","R$ 0,00"
Heron Silveira,Multidisciplinar,Biopsia Do Colo,"R$550,00","R$350,00","R$ 0,00"
Heron Silveira,Consulta,Consulta Pré Procedimento,"R$450,00","R$250,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Fraxx,"R$2.000,00","R$1.300,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Implanon,"R$2.000,00","R$1.300,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Parto Cesárea,"R$3.500,00","R$2.600,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Ninfoplastia,"R$3.500,00","R$2.500,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Histeroscopia Diagnóstica Com Biópsia,"R$2.150,00","R$950,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Estudo Urodinâmico,"R$700,00","R$500,00","R$ 0,00"
Heron Silveira,Multidisciplinar, Parto-Pediatra,"R$800,00","R$800,00","R$ 0,00"
