PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Luis Henrique,Multidisciplinar,CONSULTA," R$  400,00 "," R$  300,00 ","R$ 0,00"
Gabriela Freire,Multidisciplinar,CONSULTA ," R$  250,00 "," R$  100,00 ","R$ 0,00"
Gabriela Freire,Cirurgia plástica,LIPO DE PAPADA ," R$  5.200,00 "," R$  3.000,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, BIOMETRIA ULTRA-SONICA - MONOCULAR," R$  90,00 "," R$  76,20 ","R$ 0,00"
Hospital Memorial,Exames clínicos, CAMPIMETRIA COMPUTADORIZADA (CAMPO VISUAL) - MONOCULAR," R$  190,00 "," R$  71,70 ","R$ 0,00"
Hospital Memorial,Exames clínicos, CERATOSCOPIA COMPUTADORIZADA - MONOCULAR," R$  180,00 "," R$  91,70 ","R$ 0,00"
Hospital Memorial,Exames clínicos, CERUMEN - REMOCAO (BILATERAL)," R$  300,00 "," R$  150,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA ALERGOLOGISTA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, CLISTER OU ENEMA OPACO (DUPLO CONTRASTE)," R$  350,00 "," R$  208,13 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, COLONOSCOPIA (INCLUI A RETOSSIGMOIDOSCOPIA)," R$  700,00 "," R$  480,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, COLONOSCOPIA COM BIOPSIA E/OU CITOLOGIA," R$  700,00 "," R$  480,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA ANGIOLOGISTA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA CARDIOLOGIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA CIRURGIA CABECA E PESCOCO," R$  300,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA CIRURGIA GERAL," R$  300,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA CLINICO GERAL," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA DERMATOLOGISTA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA GASTROENTEROLOGIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA GERIATRIA," R$  350,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA GINECOLOGIA OBSTETRICA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA GINECOLÓGICA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA HEMATOLOGISTA," R$  400,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA HEPATOLOGISTA," R$  300,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA NEUROCIRURGIAO," R$  450,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA OFTALMOLOGIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA ONCOLOGIA," R$  300,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA ORTOPEDIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA OTORRINOLARINGOLOGIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA PEDIATRIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA PRE ANESTESICA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA PROCTOLOGIA," R$  250,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA UROLOGISTA," R$  300,00 "," R$  140,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA MASTOLOGIA," R$  300,00 "," R$  150,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA CIRURGIAO TORACICO," R$  250,00 "," R$  200,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA ENDOCRINOLOGISTA," R$  300,00 "," R$  200,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA NEUROLOGIA," R$  300,00 "," R$  200,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CONSULTA PNEUMOLOGIA," R$  250,00 "," R$  200,00 ","R$ 0,00"
Hospital Memorial,CONSULTA, CIRURGIÃO CARDIOVASCULAR," R$  450,00 "," R$  370,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, CURVA TENSIONAL DIARIA - BINOCULAR," R$  150,00 "," R$  68,70 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, DENSITOMETRIA OSSEA - 2 SEGMENTOS (COLUNA E FEMUR)," R$  130,00 "," R$  90,00 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, ECOCARDIOGRAMA (ECO)," R$  250,00 "," R$  200,00 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, ELETROENCEFALOGRAMA EM VIGILIA E SONO (EEG)," R$  130,00 "," R$  100,00 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, ENDOSCOPIA DIGESTIVA ALTA," R$  350,00 "," R$  250,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, GONIOSCOPIA - BINOCULAR," R$  130,00 "," R$  25,60 ","R$ 0,00"
Hospital Memorial,Exames clínicos, HOLTER 24 HORAS - 3 CANAIS - DIGITAL," R$  200,00 "," R$  160,00 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, MAMOGRAFIA CONVENCIONAL BILATERAL," R$  150,00 "," R$  120,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, MAPA 24HORAS," R$  200,00 "," R$  150,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, ELETROCARDIOGRAMA (ECG)," R$  80,00 "," R$  50,00 ","R$ 0,00"
Hospital Memorial,Exames clínicos, MAPEAMENTO DE RETINA (OFTALMOSCOPIA INDIRETA) - MONOCULAR," R$  100,00 "," R$  47,30 ","R$ 0,00"
Hospital Memorial,Exames clínicos, MICROSCOPIA ESPECULAR DE CORNEA - MONOCULAR," R$  180,00 "," R$  106,60 ","R$ 0,00"
Hospital Memorial,Exames clínicos, PAQUIMETRIA ULTRASONICA - MONOCULAR," R$  200,00 "," R$  49,20 ","R$ 0,00"
Hospital Memorial,PROCEDIMENTO, POLIPECTOMIA DE COLON (INDEPENDENTE DO NUMERO DE POLIPOS)," R$  750,00 "," R$  550,00 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X ESTERNO," R$  150,00 "," R$  53,36 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, UROGRAFIA VENOSA MINUTADA 1-2-3," R$  150,00 "," R$  168,70 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO X - TÓRAX (PA E PERFIL)," R$  150,00 "," R$  54,03 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ABDOME SIMPLES," R$  110,00 "," R$  50,05 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ADENOIDES OU CAVUM," R$  110,00 "," R$  48,02 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ANTEBRACO," R$  110,00 "," R$  49,75 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ARTICULACAO COXOFEMORAL (QUADRIL)," R$  150,00 "," R$  52,64 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ARTICULACAO TEMPOROMANDIBULAR - BILATERAL," R$  150,00 "," R$  56,43 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ARTICULACAO TIBIOTARSICA (TORNOZELO)," R$  150,00 "," R$  48,02 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - BACIA," R$  150,00 "," R$  50,05 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - BRACO," R$  150,00 "," R$  51,20 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - CALCANEO," R$  150,00 "," R$  48,02 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - CLAVICULA," R$  150,00 "," R$  51,20 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COLUNA CERVICAL - 3 INCIDENCIAS," R$  150,00 "," R$  50,77 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COLUNA DORSAL - 2 INCIDENCIAS," R$  150,00 "," R$  55,54 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COLUNA LOMBO-SACRA -3 INCIDENCIAS," R$  150,00 "," R$  57,70 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COLUNA TORÁCICA - 1 INCIDENCIA," R$  150,00 "," R$  33,64 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COLUNA TORÁCICA - 2 INCIDENCIAS," R$  150,00 "," R$  40,48 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COSTELAS - POR HEMITORAX," R$  150,00 "," R$  54,08 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COTOVELO," R$  150,00 "," R$  48,02 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - COXA," R$  150,00 "," R$  54,08 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - CRANIO - 2 INCIDENCIAS," R$  150,00 "," R$  51,20 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - ESOFAGO - ESTOMAGO E DUODENO," R$  430,00 "," R$  188,82 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - JOELHO," R$  150,00 "," R$  49,75 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - MAO OU QUIRODACTILO," R$  150,00 "," R$  48,02 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - OMOPLATA OU ESCAPULA," R$  150,00 "," R$  53,36 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - OSSOS DA FACE," R$  150,00 "," R$  56,43 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - PE OU PODODACTILO," R$  150,00 "," R$  49,75 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - PERNA," R$  150,00 "," R$  52,63 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - PUNHO," R$  150,00 "," R$  50,61 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - SACRO-COCCIX," R$  150,00 "," R$  53,52 ","R$ 0,00"
Hospital Memorial,EXAME DE IMAGEM, RAIO-X - SEIOS DA FACE," R$  150,00 "," R$  53,35 ","R$ 0,00"
