PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Hospital Neurocardio,Cirurgia plástica,Abdominoplastia,"R$3.200,00","R$3.200,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica,Abdominoplastia + Hérnia,"R$5.060,00","R$5.060,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica,Abdominoplastia + Lipo De Cintura,"R$4.650,00","R$4.650,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Abdominoplastia + Lipo De Cintura + Costa,"R$5.800,00","R$5.800,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Abdominoplastia + Lipo Média+ Hérnia,"R$3.600,00","R$3.600,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Abdominoplastia + Lipo de Cintura + Enxertia,"R$4.650,00","R$4.650,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Abdominoplastia Em Ancora,"R$2.900,00","R$2.900,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Blefaroplastia Inferior,"R$1.500,00","R$1.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Blefaroplastia Superior,"R$1.500,00","R$1.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Blefaroplastia Superior + Inferior,"R$2.340,00","R$2.340,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Blefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia,"R$2.340,00","R$2.340,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Braquioplastia,"R$2.600,00","R$2.600,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Cruroplastia,"R$2.600,00","R$2.600,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Enxertia De Glúteo,"R$900,00","R$900,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Ginecomastia,"R$3.800,00","R$3.800,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Ginecomastia Com Lipo De Peitoral,"R$3.800,00","R$3.800,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lifting Coxa,"R$3.500,00","R$2.700,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lifting Facial,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipo Safer (Abdômen E Flancos),"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipo Safer (Abdômen E Flancos) +Enxertia,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica," Lipo Safer (Abdômen, Flancos ) Abdominoplastia","R$4.650,00","R$4.650,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica," Lipo Safer (Abdômen, Flancos e costas)","R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica," Lipo Safer (Abdômen, Flancos e costas) + Enxertia de glutéo","R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica," Lipo Safer (Abdômen, Flancos E Costas) + Enxertia +Abdominoplastia","R$4.650,00","R$4.650,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica," Lipo Safer (Abdômen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia","R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiração De Abdome Com Enxertia,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiracão De Abdome E Dorso Com Enxertia,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiracão De Abdome E Dorso Sem Enxertia,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiração De Abdome Sem Enxertia,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Abdominoplastia + lipoescultura,"R$5.740,00","R$5.740,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Abdominoplastia + Lipoescultura+Enxertia de Glutéo,"R$6.640,00","R$6.640,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiração De Papada,"R$700,00","R$700,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiração Média 2 A 4 Horas,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax),"R$1.500,00","R$1.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoaspiração Pequena Até 2 Horas,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoescultura,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Lipoescultura Com Laser,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mamoplastia De Aumento,"R$3.500,00","R$3.500,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mamoplastia De Aumento Submuscular Estruturada,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mamoplastia Redutora,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mamoplastia Redutora Com Prótese,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mastopexia Com Prótese,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mastopexia Com Protese Multiplanos Em L,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mastopexia Sem Prótese,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mini Abdominoplastia + Lipo De Cintura,"R$4.050,00","R$4.050,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Mini Abdominoplastia + Lipo Média 2 A 4 Horas,"R$3.300,00","R$3.300,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Miniabdominoplastia,"R$2.900,00","R$2.900,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Ninfoplastia,"R$3.200,00","R$3.200,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Ninfoplastia Com Enxertia De Gordura,"R$3.200,00","R$3.200,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Parto Cesárea,"R$1.800,00","R$1.800,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Ninfoplastia Pequenos Lábios,"R$3.200,00","R$3.200,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Otoplastia,"R$2.600,00","R$2.600,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Rinoplastia,"R$2.600,00","R$2.600,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Rinoplastia C/ Retirada De Costela,"R$2.600,00","R$2.600,00","R$ 0,00"
Hospital Neurocardio,Cirurgia plástica, Rinoplastia Com Cartilagem Costal,"R$2.600,00","R$2.600,00","R$ 0,00"
