Parceiro,Tipo,Subtipo,Especialidade,Produto,Valor Particular,Valor Repasse,Valor Venda
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Abdominoplastia,20000.00,10350.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Abdominoplastia + hérnia umbilical,22000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Abdominoplastia + lipoaspiracão anterior,35000.00,16100.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Abdominoplastia + lipoaspiracão anterior e posterior,45000.00,20700.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Abdominoplastia + lipoescultura,50000.00,23000.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Abdominoplastia pós bariátrica,25000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Blefaroplastia superior,9000.00,6900.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Blefaroplastia superior + inferior,12000.00,8050.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Blefaroplastia superior + inferior + cantopexia ou cantoplastia,15000.00,9200.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Braquioplastia (lifting de braço),20000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Consulta,500.00,200.00,300.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Cruroplastia (lifting de coxas),25000.00,13800.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Ginecomastia grande (simon 2b ou 3),18000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Ginecomastia pequena (simon 1 ou 2a),15000.00,8050.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Lipoaspiracão anterior,20000.00,9200.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Lipoaspiracão anterior e posterior,25000.00,13800.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Lipoaspiracão de axilas associada à mamoplastia ou mastopexia,3000.00,1725.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Lipoaspiração de papada,8000.00,4600.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Lipoescultura (lipoaspiracão + lipoenxertia glútea),28000.00,16100.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mamoplastia de aumento,16000.00,8050.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mamoplastia de aumento + abdominoplastia,35000.00,17250.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mamoplastia de aumento + abdominoplastia + lipoescultura,55000.00,27600.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mamoplastia de aumento + lipoescultura,40000.00,18400.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mamoplastia pós bariatrica,25000.00,12075.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mamoplastia redutora,22000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mastopexia com prótese,22000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mastopexia sem prótese,22000.00,11500.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mini abdominoplastia,16000.00,8050.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Mini abdominoplastia + lipoescultura,40000.00,20700.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Ninfoplastia,15000.00,9200.00,0.00
Ananda Cantolino,Profissional,Médico,Cirurgia plástica,Otoplastia,12000.00,8050.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Abdominoplastia,2800.00,2600.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Abdominoplastia em ancora,2800.00,2600.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Blefaroplastia superior,1600.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Blefaroplastia superior + inferior + cantopexia ou cantoplastia,1600.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Braquioplastia,2000.00,1950.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Cruroplastia,1600.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Ginecomastia,1800.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Ginecomastia com lipo de peitoral,1800.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lifting facial,2800.00,2600.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipo safer (abdômen e flancos),2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipo safer (abdômen e flancos) +enxertia,2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer (abdômen, flancos e costas)",2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer (abdômen, flancos e costas) + enxertia",2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer (abdômen, flancos, costas, braços, coxas e monte de vênus) + enxertia",2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer (abdômen, flancos, costas, e monte de vênus) + enxertia",2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer (abômen, flancos e costas) + enxertia +abdominoplastia",4000.00,3700.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer 360° (abômen, flancos e lombar )",2800.00,2600.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,"Lipo safer 360° (abômen, flancos e costas) + abdominiplastia",3980.00,3700.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipoaspiração de abdome com enxertia,2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipoaspiracão de abdome e dorso com enxertia,2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipoaspiracão de abdome e dorso sem enxertia,2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipoaspiração de abdome sem enxertia,2800.00,2400.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipoaspiração de papada,1600.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Lipoaspiracão pequena (ex: braços ou coxas ou axilas + torax),1600.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mamoplastia de aumento,2400.00,2320.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mamoplastia de aumento submuscular estruturada,3500.00,3200.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mamoplastia redutora,2800.00,2600.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mamoplastia redutora com prótese,3500.00,3200.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mamoplastia redutora com prótese + lipo de axila,3800.00,3800.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mastopexia com prótese,3500.00,3200.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mastopexia com protese multiplanos em l,3500.00,3200.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Mastopexia sem prótese,3500.00,3200.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Miniabdominoplastia,1200.00,1000.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Ninfoplastia,1500.00,1500.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Otoplastia,1400.00,1300.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Parto cesárea,900.00,900.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Rinoplastia,2500.00,2320.00,0.00
Anestesia e Serviços Médicos LTDA,Profissional,Médico,Anestesia,Rinoplastia com cartilagem costal,2500.00,2320.00,0.00
Gustavo Bonfim,Profissional,Médico,Dentista ,Clareamento," R$  1.200,00 "," R$  960,00 ","R$ 1.116,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Coroa Provisoria," R$  350,00 "," R$  280,00 ","R$ 325,50"
Gustavo Bonfim,Profissional,Médico,Dentista ,Coroa Sobre Dente," R$  1.800,00 "," R$  1.440,00 ","R$ 1.674,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Coroa Sobre Implante," R$  1.800,00 "," R$  1.440,00 ","R$ 1.674,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Coroa Sobre Implante Importado," R$  2.000,00 "," R$  1.600,00 ","R$ 1.860,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Endo Retratamento," R$  1.400,00 "," R$  1.120,00 ","R$ 1.302,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Endodontia," R$  1.200,00 "," R$  960,00 ","R$ 1.116,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Exodontia 3 Molar," R$  800,00 "," R$  640,00 ","R$ 744,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Exodontia Comum," R$  300,00 "," R$  240,00 ","R$ 279,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Implante Importado," R$  2.000,00 "," R$  1.600,00 ","R$ 1.860,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Implante Nacional," R$  1.200,00 "," R$  960,00 ","R$ 1.116,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Pino de Fibra de Vidro," R$  400,00 "," R$  320,00 ","R$ 372,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Planejamento / Mockup por Unidade," R$  200,00 "," R$  160,00 ","R$ 186,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Profilaxia," R$  200,00 "," R$  160,00 ","R$ 186,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Raspagem Subgenvival," R$  600,00 "," R$  480,00 ","R$ 558,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Raspagem Supragengival," R$  300,00 "," R$  240,00 ","R$ 279,00"
Gustavo Bonfim,Profissional,Médico,Dentista ,Restauração," R$  250,00 "," R$  200,00 ","R$ 232,50"
Angioclin,Local,Clínica,Multidisciplinar,Angiologista,350.00,120.00,180.00
Angioclin,Local,Clínica,Multidisciplinar,Cardiologista,350.00,120.00,180.00
Angioclin,Local,Clínica,Multidisciplinar,Cirurgião vascular,350.00,120.00,180.00
Angioclin,Local,Clínica,Multidisciplinar,"Clacs (por sessão, cada membro)",900.00,650.00,800.00
Angioclin,Local,Clínica,Multidisciplinar,Doppler colorido arterial de membro inferior - unilateral,400.00,160.00,280.00
