PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Tercio Coelho,Cirurgia plástica,Mamoplastia De Aumento,"R$10.560,00","R$8.800,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica,Mamoplastia Redutora,"R$14.520,00","R$12.100,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica,Mastopexia Com Prótese,"R$15.840,00","R$13.200,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Mastopexia Sem Prótese,"R$14.520,00","R$12.100,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Ginecomastia,"R$7.920,00","R$6.600,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Ginecomastia Com Lipo De Peitoral,"R$9.240,00","R$7.700,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Abdominoplastia,"R$11.880,00","R$9.900,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Abdominoplastia Em Ancora,"R$13.200,00","R$11.000,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Miniabdominoplastia,"R$10.560,00","R$8.800,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lipoaspiração De Papada,"R$5.280,00","R$4.400,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax),"R$7.920,00","R$6.600,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lipoaspiração De Abdome Sem Enxertia,"R$9.240,00","R$7.700,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lipoaspiração De Abdome Com Enxertia,"R$11.880,00","R$9.900,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lipoaspiracão De Abdome E Dorso Sem Enxertia,"R$16.500,00","R$13.750,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lipoaspiracão De Abdome E Dorso Com Enxertia,"R$19.140,00","R$15.950,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Plasma De Argonio (Argoplasma),"R$10.560,00","R$8.800,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Otoplastia,"R$6.600,00","R$5.500,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Blefaroplastia Superior,"R$5.280,00","R$4.400,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Blefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia,"R$10.560,00","R$8.800,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Braquioplastia,"R$9.900,00","R$8.250,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Cruroplastia,"R$12.540,00","R$10.450,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Lifting Facial,"R$17.160,00","R$14.300,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Rinoplastia,"R$13.860,00","R$11.550,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Rinoplastia Com Cartilagem Costal,"R$15.840,00","R$13.200,00","R$ 0,00"
Tercio Coelho,Cirurgia plástica, Ninfoplastia,"R$6.600,00","R$5.500,00","R$ 0,00"
Tercio Coelho,Consulta, Consulta,"R$350,00","R$250,00","R$ 0,00"
