PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Wolff Hans,Cirurgia plástica,Lipoaspiração Média 2 A 4 Horas,"R$10.000,00","R$8.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica,Lipoaspiração Pequena Até 2 Horas,"R$7.500,00","R$6.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica,Lipoescultura,"R$15.000,00","R$12.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Lipoescultura Com Laser,"R$20.000,00","R$16.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Lipo de Braço,"R$5.000,00","R$4.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Enxertia De Glúteo,"R$2.250,00","R$1.800,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Mini Abdominoplastia + Lipo De Cintura,"R$12.500,00","R$10.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Mamoplastia De Aumento,"R$7.500,00","R$6.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Ginecomastia,"R$10.000,00","R$8.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Mastopexia Sem Prótese,"R$11.875,00","R$9.500,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Mastopexia Com Prótese,"R$11.875,00","R$9.500,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Mamoplastia Redutora,"R$11.250,00","R$9.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia,"R$10.000,00","R$8.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Lipo De Cintura,"R$13.750,00","R$11.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Lipo de Cintura+ Abdominoplastia + Enxertia de Glúteo,"R$16.000,00","R$12.800,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Lipo De Cintura + Costa,"R$17.500,00","R$14.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Lipo Média+ Hérnia,"R$18.125,00","R$14.500,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Ninfoplastia,"R$13.750,00","R$11.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Hérnia,"R$10.625,00","R$8.500,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Lipoescultura,"R$23.000,00","R$18.400,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Abdominoplastia + Lipoescultura+Enxertia de Glutéo,"R$24.240,00","R$20.200,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Rinoplastia,"R$11.250,00","R$9.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Rinoplastia C/ Retirada De Costela,"R$13.750,00","R$11.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Otoplastia,"R$8.125,00","R$6.500,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Blefaroplastia Superior + Inferior,"R$9.750,00","R$7.800,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Blefaroplastia Superior,"R$5.000,00","R$4.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Blefaroplastia Inferior,"R$5.000,00","R$4.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Lifting Coxa,"R$8.750,00","R$7.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Lifting Braço,"R$8.750,00","R$7.000,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Ninfoplastia Pequenos Lábios,"R$4.750,00","R$3.800,00","R$ 0,00"
Wolff Hans,Cirurgia plástica, Ninfoplastia Com Enxertia De Gordura,"R$8.125,00","R$6.500,00","R$ 0,00"
Wolff Hans,Multidisciplinar, Mamoplastia De Aumento + Lipo Média,"R$17.812,50","R$14.250,00","R$ 0,00"
Wolff Hans,Multidisciplinar, Mamoplastia De Aumento + Lipo Pequena 2 Horas,"R$15.000,00","R$12.000,00","R$ 0,00"
Wolff Hans,Multidisciplinar, Bota Pneumática Cirúrgica,"R$375,00","R$300,00","R$ 0,00"
Wolff Hans,Multidisciplinar, Curativos Até 3,"R$250,00","R$200,00","R$ 0,00"
