Parceiro,Tipo,Subtipo,Especialidade,Produto,Valor Particular,Valor Repasse,Valor Venda
Atma,Local,Clínica,Multidisciplinar,Colonoscopia (inclui a retossigmoidoscopia),500.00,350.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta cardiologia,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta cirurgia cabeca e pescoco,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta clinico geral,300.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta endocrinologista,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta fisioterapia,160.00,90.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta gastroenterologia,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta ginecologista/obstetra,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta neurologista,350.00,145.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta nutricionista,160.00,90.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta ortopedia,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta pediatria,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta pneumologista,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta procotlogista,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta psicologia,300.00,110.00,0.00
Atma,Local,Clínica,Multidisciplinar,Consulta psiquiatria,300.00,125.00,0.00
Atma,Local,Clínica,Multidisciplinar,Eletrocardiograma (ecg),100.00,60.00,0.00
Atma,Local,Clínica,Multidisciplinar,Endoscopia digestiva alta,320.00,200.00,0.00
Atma,Local,Clínica,Multidisciplinar,Sessão psicologia,120.00,90.00,0.00
Atma,Local,Clínica,Multidisciplinar,Teste de olhinho,120.00,90.00,0.00
Atma,Local,Clínica,Multidisciplinar,Teste do pezinho ampliado (tsh neonatal + 17 oh progesterona + fenilal,100.00,50.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg abdomem com doppler,250.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg abdomem superior,250.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg abdomem total,300.00,140.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg abdomem total com doppler,300.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg articulação,350.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg articulação com doppler,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg axila,200.00,110.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg carotidas e vertebrais,210.00,200.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg cervical,300.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg cervical com doppler,250.00,200.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg com doppler mmii arterial (valor unilateral),210.00,200.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg com doppler mmii venoso (valor unilateral),350.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg com doppler mmss arterial (valor unilateral),350.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg com doppler mmss venoso (valor unilateral),350.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg doppler arterial renal,450.00,210.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg doppler de carotidas e vertebras,200.00,110.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg doppler transfontanela,300.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg glândulas salivares,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg glandulas salivares com doppler,300.00,200.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg jugulares,350.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg mamas (axila),220.00,110.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg morfologica,250.00,200.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg morfologica com doppler,380.00,300.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg obstetrica,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg obstetrica (transvaginal) - 1º trimestre,250.00,140.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg obstetrica com doppler,200.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg obstetrica gemelar,250.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg parede abdominal,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg partes moles,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg partes moles com doppler,300.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg região inguinal,300.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg tireoide,350.00,140.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg tireoide com doppler,200.00,110.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg torax,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg transvaginal,200.00,100.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg transvaginal com doppler,300.00,180.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg transvaginal para controle de ovulação,250.00,140.00,0.00
Atma,Local,Clínica,Multidisciplinar,Usg vias urinarias,200.00,100.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg abdomen total,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg obstétrica morfológica,220.00,160.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg obstetrica simples,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg região cervical,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg região cervical com doppler,220.00,160.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg vias urinarias,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg vias biliares,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg bolsa escrotal,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg bolsa escrotal com doppler,220.00,160.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg tireoide com doppler,220.00,160.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg parede abd,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg região inguinal,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg região umbilical,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg pelvica,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg prostata,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg transvaginal,150.00,110.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg transvaginal com doppler,220.00,160.00,0.00
Cemedi,Local,Laboratório,Exames clínicos,Usg partes moles,175.00,130.00,0.00
